"","Date","Tweets.published","impressions","engagements","taux.d‚..engagement","Retweets","r√.ponses","J.aime","clics.sur.le.profil.de.l.utilisateur","clics.sur.l.URL","clics.sur.le.hashtag","ouvertures.des.d√.tails","clics.sur.le.permalien","ouvertures.d.application","installations.de.l.application","abonnements.","envoyer.le.Tweet.par.email","composer.le.num√.ro","vues.du.m√.dia","engagements.avec.le.m√.dia","impressions.sponsoris√.","engagements.sponsoris√.","taux.d‚..engagement.sponsoris√.","Retweets.sponsoris√.","r√.ponses.sponsoris√.","J.aime.sponsoris√.","clics.sur.le.profil.de.l.utilisateur.sponsoris√.","clics.sur.l.URL.sponsoris√.","clics.sur.le.hashtag.sponsoris√.","ouvertures.des.d√.tails.sponsoris√.","clics.sur.le.permalien.sponsoris√.","ouvertures.d.application.sponsoris√.","installations.de.l.application.sponsoris√.","abonnements..sponsoris√.","envoyer.le.Tweet.par.email.sponsoris√.","composer.le.num√.ro.sponsoris√.","vues.du.m√.dia.sponsoris√.","engagements.avec.le.m√.dia.sponsoris√."
"62","2020-12-01",0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"63","2020-12-02",0,18,6,0.333333333333333,0,0,0,0,0,0,2,0,0,0,0,0,0,5,4,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"64","2020-12-03",0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"65","2020-12-04",0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"66","2020-12-05",0,161,1,0.0062111801242236,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"67","2020-12-06",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"68","2020-12-07",0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"69","2020-12-08",1,320,14,0.04375,1,0,2,0,0,0,8,0,0,0,0,0,0,4,3,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"70","2020-12-09",3,645,35,0.0542635658914729,4,0,4,1,0,1,15,0,0,0,0,0,0,10,10,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"71","2020-12-10",3,573,25,0.043630017452007,2,1,6,2,0,0,11,0,0,0,0,0,0,3,3,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"72","2020-12-11",0,117,4,0.0341880341880342,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"73","2020-12-12",0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"74","2020-12-13",0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"75","2020-12-14",0,27,6,0.222222222222222,0,0,0,0,0,0,2,0,0,0,0,0,0,4,4,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"76","2020-12-15",0,225,7,0.0311111111111111,0,0,0,1,0,0,2,0,0,0,0,0,0,4,4,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"77","2020-12-16",0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"78","2020-12-17",1,275,5,0.0181818181818182,0,0,0,1,0,0,2,0,0,0,0,0,0,24,2,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"79","2020-12-18",0,111,3,0.027027027027027,0,0,0,0,0,0,1,0,0,0,0,0,0,8,2,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"80","2020-12-19",0,94,2,0.0212765957446809,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"81","2020-12-20",0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"82","2020-12-21",0,130,3,0.0230769230769231,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"83","2020-12-22",1,189,5,0.0264550264550265,0,0,0,2,0,0,2,0,0,0,0,0,0,11,1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"84","2020-12-23",0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"85","2020-12-24",0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"86","2020-12-25",0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"87","2020-12-26",0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"88","2020-12-27",0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"89","2020-12-28",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"90","2020-12-29",0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"91","2020-12-30",0,83,1,0.0120481927710843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"92","2020-12-31",0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"93","2021-01-01",0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"94","2021-01-02",0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"95","2021-01-03",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"96","2021-01-04",0,43,7,0.162790697674419,0,0,0,1,0,0,2,0,0,0,0,0,0,7,4,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
